"","X1.1501","accs"
"971",971,0.639794168096055
"972",972,NA
"973",973,NA
"974",974,NA
"975",975,NA
"976",976,NA
"977",977,NA
"978",978,NA
"979",979,NA
"980",980,NA
"981",981,0.644939965694683
"982",982,NA
"983",983,NA
"984",984,NA
"985",985,NA
"986",986,NA
"987",987,NA
"988",988,NA
"989",989,NA
"990",990,NA
"991",991,0.643224699828473
"992",992,NA
"993",993,NA
"994",994,NA
"995",995,NA
"996",996,NA
"997",997,NA
"998",998,NA
"999",999,NA
"1000",1000,NA
"1001",1001,0.643224699828473
"1002",1002,NA
"1003",1003,NA
"1004",1004,NA
"1005",1005,NA
"1006",1006,NA
"1007",1007,NA
"1008",1008,NA
"1009",1009,NA
"1010",1010,NA
"1011",1011,0.644939965694683
"1012",1012,NA
"1013",1013,NA
"1014",1014,NA
"1015",1015,NA
"1016",1016,NA
"1017",1017,NA
"1018",1018,NA
"1019",1019,NA
"1020",1020,NA
"1021",1021,0.644939965694683
"1022",1022,NA
"1023",1023,NA
"1024",1024,NA
"1025",1025,NA
"1026",1026,NA
"1027",1027,NA
"1028",1028,NA
"1029",1029,NA
"1030",1030,NA
"1031",1031,0.644939965694683
"1032",1032,NA
"1033",1033,NA
"1034",1034,NA
"1035",1035,NA
"1036",1036,NA
"1037",1037,NA
"1038",1038,NA
"1039",1039,NA
"1040",1040,NA
"1041",1041,0.646655231560892
"1042",1042,NA
"1043",1043,NA
"1044",1044,NA
"1045",1045,NA
"1046",1046,NA
"1047",1047,NA
"1048",1048,NA
"1049",1049,NA
"1050",1050,NA
"1051",1051,0.641509433962264
"1052",1052,NA
"1053",1053,NA
"1054",1054,NA
"1055",1055,NA
"1056",1056,NA
"1057",1057,NA
"1058",1058,NA
"1059",1059,NA
"1060",1060,NA
"1061",1061,0.644939965694683
"1062",1062,NA
"1063",1063,NA
"1064",1064,NA
"1065",1065,NA
"1066",1066,NA
"1067",1067,NA
"1068",1068,NA
"1069",1069,NA
"1070",1070,NA
"1071",1071,0.643224699828473
"1072",1072,NA
"1073",1073,NA
"1074",1074,NA
"1075",1075,NA
"1076",1076,NA
"1077",1077,NA
"1078",1078,NA
"1079",1079,NA
"1080",1080,NA
"1081",1081,0.644939965694683
"1082",1082,NA
"1083",1083,NA
"1084",1084,NA
"1085",1085,NA
"1086",1086,NA
"1087",1087,NA
"1088",1088,NA
"1089",1089,NA
"1090",1090,NA
"1091",1091,0.639794168096055
"1092",1092,NA
"1093",1093,NA
"1094",1094,NA
"1095",1095,NA
"1096",1096,NA
"1097",1097,NA
"1098",1098,NA
"1099",1099,NA
"1100",1100,NA
"1101",1101,0.638078902229846
"1102",1102,NA
"1103",1103,NA
"1104",1104,NA
"1105",1105,NA
"1106",1106,NA
"1107",1107,NA
"1108",1108,NA
"1109",1109,NA
"1110",1110,NA
"1111",1111,0.641509433962264
"1112",1112,NA
"1113",1113,NA
"1114",1114,NA
"1115",1115,NA
"1116",1116,NA
"1117",1117,NA
"1118",1118,NA
"1119",1119,NA
"1120",1120,NA
"1121",1121,0.638078902229846
"1122",1122,NA
"1123",1123,NA
"1124",1124,NA
"1125",1125,NA
"1126",1126,NA
"1127",1127,NA
"1128",1128,NA
"1129",1129,NA
"1130",1130,NA
"1131",1131,0.639794168096055
"1132",1132,NA
"1133",1133,NA
"1134",1134,NA
"1135",1135,NA
"1136",1136,NA
"1137",1137,NA
"1138",1138,NA
"1139",1139,NA
"1140",1140,NA
"1141",1141,0.641509433962264
"1142",1142,NA
"1143",1143,NA
"1144",1144,NA
"1145",1145,NA
"1146",1146,NA
"1147",1147,NA
"1148",1148,NA
"1149",1149,NA
"1150",1150,NA
"1151",1151,0.639794168096055
"1152",1152,NA
"1153",1153,NA
"1154",1154,NA
"1155",1155,NA
"1156",1156,NA
"1157",1157,NA
"1158",1158,NA
"1159",1159,NA
"1160",1160,NA
"1161",1161,0.643224699828473
"1162",1162,NA
"1163",1163,NA
"1164",1164,NA
"1165",1165,NA
"1166",1166,NA
"1167",1167,NA
"1168",1168,NA
"1169",1169,NA
"1170",1170,NA
"1171",1171,0.641509433962264
"1172",1172,NA
"1173",1173,NA
"1174",1174,NA
"1175",1175,NA
"1176",1176,NA
"1177",1177,NA
"1178",1178,NA
"1179",1179,NA
"1180",1180,NA
"1181",1181,0.641509433962264
"1182",1182,NA
"1183",1183,NA
"1184",1184,NA
"1185",1185,NA
"1186",1186,NA
"1187",1187,NA
"1188",1188,NA
"1189",1189,NA
"1190",1190,NA
"1191",1191,0.641509433962264
"1192",1192,NA
"1193",1193,NA
"1194",1194,NA
"1195",1195,NA
"1196",1196,NA
"1197",1197,NA
"1198",1198,NA
"1199",1199,NA
"1200",1200,NA
"1201",1201,0.638078902229846
"1202",1202,NA
"1203",1203,NA
"1204",1204,NA
"1205",1205,NA
"1206",1206,NA
"1207",1207,NA
"1208",1208,NA
"1209",1209,NA
"1210",1210,NA
"1211",1211,0.639794168096055
"1212",1212,NA
"1213",1213,NA
"1214",1214,NA
"1215",1215,NA
"1216",1216,NA
"1217",1217,NA
"1218",1218,NA
"1219",1219,NA
"1220",1220,NA
"1221",1221,0.641509433962264
"1222",1222,NA
"1223",1223,NA
"1224",1224,NA
"1225",1225,NA
"1226",1226,NA
"1227",1227,NA
"1228",1228,NA
"1229",1229,NA
"1230",1230,NA
"1231",1231,0.639794168096055
"1232",1232,NA
"1233",1233,NA
"1234",1234,NA
"1235",1235,NA
"1236",1236,NA
"1237",1237,NA
"1238",1238,NA
"1239",1239,NA
"1240",1240,NA
"1241",1241,0.639794168096055
"1242",1242,NA
"1243",1243,NA
"1244",1244,NA
"1245",1245,NA
"1246",1246,NA
"1247",1247,NA
"1248",1248,NA
"1249",1249,NA
"1250",1250,NA
"1251",1251,0.641509433962264
"1252",1252,NA
"1253",1253,NA
"1254",1254,NA
"1255",1255,NA
"1256",1256,NA
"1257",1257,NA
"1258",1258,NA
"1259",1259,NA
"1260",1260,NA
"1261",1261,0.641509433962264
"1262",1262,NA
"1263",1263,NA
"1264",1264,NA
"1265",1265,NA
"1266",1266,NA
"1267",1267,NA
"1268",1268,NA
"1269",1269,NA
"1270",1270,NA
"1271",1271,0.641509433962264
"1272",1272,NA
"1273",1273,NA
"1274",1274,NA
"1275",1275,NA
"1276",1276,NA
"1277",1277,NA
"1278",1278,NA
"1279",1279,NA
"1280",1280,NA
"1281",1281,0.639794168096055
"1282",1282,NA
"1283",1283,NA
"1284",1284,NA
"1285",1285,NA
"1286",1286,NA
"1287",1287,NA
"1288",1288,NA
"1289",1289,NA
"1290",1290,NA
"1291",1291,0.638078902229846
"1292",1292,NA
"1293",1293,NA
"1294",1294,NA
"1295",1295,NA
"1296",1296,NA
"1297",1297,NA
"1298",1298,NA
"1299",1299,NA
"1300",1300,NA
"1301",1301,0.636363636363636
"1302",1302,NA
"1303",1303,NA
"1304",1304,NA
"1305",1305,NA
"1306",1306,NA
"1307",1307,NA
"1308",1308,NA
"1309",1309,NA
"1310",1310,NA
"1311",1311,0.638078902229846
"1312",1312,NA
"1313",1313,NA
"1314",1314,NA
"1315",1315,NA
"1316",1316,NA
"1317",1317,NA
"1318",1318,NA
"1319",1319,NA
"1320",1320,NA
"1321",1321,0.638078902229846
"1322",1322,NA
"1323",1323,NA
"1324",1324,NA
"1325",1325,NA
"1326",1326,NA
"1327",1327,NA
"1328",1328,NA
"1329",1329,NA
"1330",1330,NA
